台灣頻道,#genre#
民視,https://tang.serv00.net/zb/99.php?id=26&token=ade00fd0
民視,https://tang.serv00.net/zb/99.php?id=336&token=ade00fd0
民視,https://tang.serv00.net/zb/99.php?id=2805&token=ade00fd0
台視,https://tang.serv00.net/zb/99.php?id=27&token=ade00fd0
台視,https://tang.serv00.net/zb/99.php?id=326&token=ade00fd0
台視,https://tang.serv00.net/zb/99.php?id=312&token=ade00fd0
中視,https://tang.serv00.net/zb/99.php?id=333&token=ade00fd0
中視,https://tang.serv00.net/zb/99.php?id=1041&token=ade00fd0
華視,https://tang.serv00.net/zb/99.php?id=32&token=ade00fd0
華視,https://tang.serv00.net/zb/99.php?id=2282&token=ade00fd0
公視,https://tang.serv00.net/zb/99.php?id=86&token=ade00fd0
公視,https://tang.serv00.net/zb/99.php?id=28&token=ade00fd0
好消息,https://tang.serv00.net/zb/99.php?id=104&token=ade00fd0
客家電視,https://tang.serv00.net/zb/99.php?id=76&token=ade00fd0
緯來綜合,https://tang.serv00.net/zb/99.php?id=2726&token=ade00fd0
八大第一,https://tang.serv00.net/zb/99.php?id=318&token=ade00fd0
八大綜合,https://tang.serv00.net/zb/99.php?id=2286&token=ade00fd0
三立臺灣,https://tang.serv00.net/zb/99.php?id=35&token=ade00fd0
三立臺灣,https://tang.serv00.net/zb/99.php?id=21&token=ade00fd0
三立臺灣,https://tang.serv00.net/zb/99.php?id=2436&token=ade00fd0
三立都會,https://tang.serv00.net/zb/99.php?id=1001&token=ade00fd0
三立都會,https://tang.serv00.net/zb/99.php?id=2435&token=ade00fd0
三立都會,https://tang.serv00.net/zb/99.php?id=38&token=ade00fd0
華藝綜合,https://tang.serv00.net/zb/99.php?id=342&token=ade00fd0
東森綜合,https://tang.serv00.net/zb/99.php?id=372&token=ade00fd0
東森超視,https://tang.serv00.net/zb/99.php?id=80&token=ade00fd0
東森購物2,https://tang.serv00.net/zb/99.php?id=1156&token=ade00fd0
中天綜合,https://tang.serv00.net/zb/99.php?id=54&token=ade00fd0
中天綜合,https://tang.serv00.net/zb/99.php?id=3072&token=ade00fd0
中天娛樂,https://tang.serv00.net/zb/99.php?id=324&token=ade00fd0
TVBS歡樂,https://tang.serv00.net/zb/99.php?id=40&token=ade00fd0
JET綜合,https://tang.serv00.net/zb/99.php?id=41&token=ade00fd0
東森購物1,https://tang.serv00.net/zb/99.php?id=1155&token=ade00fd0
TVBS,https://tang.serv00.net/zb/99.php?id=2273&token=ade00fd0
TVBS,https://tang.serv00.net/zb/99.php?id=16&token=ade00fd0
緯來育樂,https://tang.serv00.net/zb/99.php?id=338&token=ade00fd0
緯來育樂（測試）,https://tang.serv00.net/zb/99.php?id=2772&token=ade00fd0
緯來日本,https://tang.serv00.net/zb/99.php?id=337&token=ade00fd0
緯來日本,https://tang.serv00.net/zb/99.php?id=46&token=ade00fd0
國興衛視,https://tang.serv00.net/zb/99.php?id=65&token=ade00fd0
信大電視,https://tang.serv00.net/zb/99.php?id=422&token=ade00fd0
八大娱乐,https://tang.serv00.net/zb/99.php?id=105&token=ade00fd0
好消息2,https://tang.serv00.net/zb/99.php?id=363&token=ade00fd0
高點綜合,https://tang.serv00.net/zb/99.php?id=99&token=ade00fd0
